iter	RMSE
0	1.891839107
1	1.848776975
2	1.809024731
3	1.767703151
4	1.734561933
5	1.689605923
6	1.665961733
7	1.626202445
8	1.598896508
9	1.582642865
10	1.567747916
11	1.55047042
12	1.529855351
13	1.505692535
14	1.491345841
15	1.480787356
16	1.461919671
17	1.44085872
18	1.429078278
19	1.412596129
20	1.400231955
21	1.381414355
22	1.356980894
23	1.342563511
24	1.325330042
25	1.313254526
26	1.306974903
27	1.293626961
28	1.280602977
29	1.277008334
30	1.261426209
31	1.250992366
32	1.239374773
33	1.229062071
34	1.203171887
35	1.195807427
36	1.189358871
37	1.178019893
38	1.170315058
39	1.163529818
40	1.155388726
41	1.14998585
42	1.147514391
43	1.14156921
44	1.129303004
45	1.122969919
46	1.114772301
47	1.087665702
48	1.081189554
49	1.070164145
50	1.064201869
51	1.060767273
52	1.048113579
53	1.038484344
54	1.033610543
55	1.027454752
56	1.016415992
57	1.009330428
58	0.9988341887
59	0.9896119021
60	0.9785887962
61	0.9727222903
62	0.9659810448
63	0.9594725261
64	0.9530476552
65	0.9467413596
66	0.9389000658
67	0.9338068073
68	0.9271333764
69	0.9201050943
70	0.9138181782
71	0.9018455433
72	0.8995823465
73	0.8907135275
74	0.8867725285
75	0.8736546893
76	0.8612733107
77	0.8490611819
78	0.8428955592
79	0.8361193137
80	0.8324730999
81	0.8286555628
82	0.8213862796
83	0.8131740086
84	0.8089490752
85	0.8058344413
86	0.8029711831
87	0.7997731386
88	0.7889738254
89	0.7846426877
90	0.7788345201
91	0.773795481
92	0.7703921252
93	0.7654285395
94	0.7601771562
95	0.7544245007
96	0.7513538545
97	0.747166881
98	0.7369837908
99	0.7287791918
100	0.7242516499
101	0.7174316316
102	0.7151526892
103	0.7127279287
104	0.7073434388
105	0.7013653984
106	0.6978389696
107	0.6956262406
108	0.6911340485
109	0.6885326016
110	0.6792576193
111	0.6742557548
112	0.6687161749
113	0.6607241907
114	0.6589451778
115	0.6565915128
116	0.6533451868
117	0.6491675996
118	0.6454287925
119	0.6409325261
120	0.6379449593
121	0.6335575442
122	0.6281224546
123	0.6255883624
124	0.6223095775
125	0.6194358622
126	0.6163106719
127	0.6104255315
128	0.6087131977
129	0.6049498029
130	0.5990485688
131	0.5972985835
132	0.5933507617
133	0.5902056274
134	0.58688014
135	0.5833895759
136	0.5821799152
137	0.5794801104
138	0.5775367847
139	0.5762997013
140	0.5732952004
141	0.5685746385
142	0.5642819739
143	0.5606170826
144	0.5572045706
145	0.5549433235
146	0.550691857
147	0.5485285914
148	0.5474094427
149	0.5443641561
150	0.5433977769
151	0.5392900638
152	0.5335126392
153	0.5305001626
154	0.5276613688
155	0.5237956423
156	0.5210672913
157	0.5196210205
158	0.5168191179
159	0.5141868352
160	0.5107355171
161	0.5096667792
162	0.5088348643
163	0.5073718551
164	0.5066608322
165	0.5054831403
166	0.5015487457
167	0.5006600344
168	0.499898883
169	0.4983597401
170	0.4955671488
171	0.4914944386
172	0.4888427142
173	0.4837506511
174	0.4825900108
175	0.481681548
176	0.4806689135
177	0.4788913691
178	0.4767339
179	0.4730372053
180	0.4706105056
181	0.4700420397
182	0.4676838232
183	0.4664500521
184	0.4648191449
185	0.4621401054
186	0.459422219
187	0.4564639509
188	0.4553601523
189	0.4532090363
190	0.4506865584
191	0.4471617546
192	0.4455619799
193	0.4440377166
194	0.4392715123
195	0.4371610671
196	0.4347651799
197	0.4322572962
198	0.4283091977
199	0.4251430053
