iter	Passed	Remaining
0	1	234
1	2	216
2	3	200
3	4	197
4	5	207
5	6	218
6	7	215
7	8	211
8	9	208
9	10	204
10	11	201
11	12	198
12	13	195
13	14	192
14	15	188
15	16	185
16	16	182
17	17	179
18	18	176
19	19	173
20	20	171
21	20	169
22	22	169
23	22	168
24	23	166
25	24	164
26	25	162
27	26	160
28	26	159
29	27	157
30	28	156
31	29	154
32	30	153
33	31	152
34	31	150
35	32	149
36	33	149
37	34	148
38	35	147
39	36	147
40	37	146
41	38	144
42	39	144
43	40	145
44	41	144
45	42	143
46	43	142
47	44	141
48	45	140
49	46	139
50	47	138
51	48	137
52	49	136
53	50	135
54	51	134
55	51	133
56	52	132
57	53	131
58	54	130
59	55	129
60	56	128
61	57	128
62	59	128
63	60	128
64	61	127
65	63	128
66	65	129
67	66	129
68	67	128
69	68	127
70	69	125
71	70	124
72	71	123
73	71	122
74	72	121
75	73	120
76	74	119
77	76	119
78	77	118
79	78	117
80	79	116
81	80	115
82	81	114
83	82	113
84	83	112
85	84	111
86	85	110
87	85	109
88	86	108
89	87	107
90	88	106
91	89	105
92	91	104
93	92	104
94	94	104
95	95	103
96	96	102
97	97	101
98	98	100
99	99	99
100	101	99
101	102	98
102	103	97
103	104	96
104	105	95
105	106	94
106	107	93
107	108	92
108	109	91
109	110	90
110	110	88
111	112	88
112	113	87
113	113	85
114	114	84
115	115	83
116	116	82
117	117	81
118	118	80
119	119	79
120	120	78
121	121	77
122	121	76
123	122	75
124	123	74
125	124	73
126	125	71
127	126	70
128	126	69
129	127	68
130	128	67
131	129	66
132	130	65
133	131	64
134	132	63
135	133	62
136	134	61
137	135	61
138	137	60
139	138	59
140	139	58
141	140	57
142	141	56
143	142	55
144	143	54
145	144	53
146	145	52
147	145	51
148	146	50
149	148	49
150	149	48
151	150	47
152	151	46
153	151	45
154	152	44
155	153	43
156	154	42
157	155	41
158	156	40
159	156	39
160	157	38
161	158	37
162	159	36
163	159	35
164	160	34
165	161	33
166	162	32
167	162	31
168	163	29
169	164	28
170	165	27
171	165	27
172	166	26
173	167	25
174	168	24
175	169	23
176	170	22
177	170	21
178	171	20
179	172	19
180	173	18
181	174	17
182	174	16
183	176	15
184	176	14
185	177	13
186	178	12
187	179	11
188	180	10
189	181	9
190	182	8
191	183	7
192	184	6
193	185	5
194	186	4
195	187	3
196	188	2
197	189	1
198	191	0
199	192	0
